year,fips,total_revenue,total_taxes,property_tax,total_gen_sales_tax,total_expenditure,total_current_expend,total_capital_outlays,taxes,igrev,chgmisc,infra_trans,health,justice,human_serv,community,counta
2010,1003,115887,74930,44551,10309,96545,92116,4429,64.657814,10.7182,24.623987,31696,2248,25444,636,13327,11
2011,1003,112060,62004,37668,8421,119796,92337,27459,55.331074,24.194181,20.474745,33991,2898,26467,616,18697,11
2012,1003,124549,60429,35508,10590,146193,110891,35302,48.518253,30.508474,20.973272,46412,2709,32898,741,23054,11
2013,1003,113711,55536,32351,10579,137691,86542,51149,48.839603,18.859213,32.301186,41296,2196,26717,814,18215,11
2014,1003,100887,56259,31821,10709,109856,97719,12137,55.76437,15.294339,28.94129,29434,2658,27561,490,20460,11
2015,1003,107821,56915,31878,10963,125666,103895,21771,52.786564,16.181448,31.031988,43414,2678,29555,502,21643,11
2016,1003,108855,58300,31991,11694,117754,103079,14675,53.557484,16.837996,29.604519,35066,2578,30654,470,21650,11
2017,1003,120783,62480,34590,12431,143276,115632,27644,51.729134,17.359232,30.911634,54181,2754,32347,504,23525,11
2018,1003,117673,71087,41466,13418,135157,126322,8835,60.410629,8.5992537,30.990116,43694,2812,31184,519,23896,11
2019,1003,139278,76877,43505,16074,141240,118361,22879,55.1968,13.016414,31.786787,45648,2306,33473,560,24055,11
2020,1003,160204,86653,46107,20401,147516,129046,18470,54.089161,11.92542,33.98542,45131,1893,35711,596,27187,11
2010,1015,71601,18147,11248,4387,82825,71980,10845,25.344618,57.74221,16.913172,15772,1735,8960,183,9934,11
2011,1015,51914,17497,10995,4286,43048,36068,6980,33.703819,51.273258,15.022923,16183,375,7422,187,425,11
2012,1015,48587,18101,11609,4304,59074,53821,5253,37.254822,43.09383,19.651346,13901,392,14149,248,6929,11
2013,1015,41409,17128,10609,5838,45337,45331,6,41.362988,37.28175,21.355261,11870,328,11666,166,11119,11
2014,1015,43369,16497,10218,5623,46513,46507,6,38.038692,39.512093,22.449215,12187,337,11978,170,11416,11
2015,1015,42365,16770,10387,5716,49219,49213,6,39.584564,36.428658,23.986782,12898,357,12677,180,12082,11
2016,1015,44992,17424,10792,5939,51057,51051,6,38.726883,33.634869,27.638247,13394,371,13165,187,12548,11
2017,1015,44477,18674,11566,6365,45739,39582,6157,41.985744,29.74571,28.268543,14301,385,13665,100,9057,11
2018,1015,42216,19449,12046,6629,45651,41721,3930,46.07021,32.193954,21.735834,11204,409,14521,106,9381,11
2019,1015,45539,20022,12401,6824,48509,41743,6766,43.966709,30.916357,25.116932,11801,416,14774,108,9529,11
2020,1015,45795,20543,12840,6941,47892,39929,7963,44.858608,22.554865,32.586529,15466,548,12485,128,9787,11
2010,1033,27100,5514,5067,0,30055,21332,8723,20.346863,52.523987,27.12915,15066,174,4960,388,4752,11
2011,1033,23285,5381,4610,0,19195,17509,1686,23.109299,54.107796,22.782907,7520,164,4081,354,4747,11
2012,1033,20378,5741,5091,0,24789,22576,2213,28.172539,34.743351,37.08411,9203,154,5639,472,4829,11
2013,1033,24790,6224,5623,0,23565,22148,1417,25.106897,41.706333,33.186768,8624,174,5002,480,5065,11
2014,1033,24673,5994,5416,0,24112,22677,1435,24.293762,41.413692,34.292545,8796,179,5137,485,5188,11
2015,1033,24848,6094,5506,0,25170,23701,1469,24.525112,40.409691,35.065197,9047,189,5437,497,5489,11
2016,1033,26336,6332,5721,0,26034,24491,1543,24.043135,37.640491,38.316372,9308,196,5646,505,5697,11
2017,1033,21849,6763,6131,0,26428,24034,2394,30.953362,25.969152,43.077488,9918,203,5860,329,3983,11
2018,1033,21959,7043,6385,0,27577,25100,2477,32.07341,23.917301,44.009289,10292,184,6227,309,3966,11
2019,1033,22387,7416,6573,0,27343,25817,1526,33.126369,24.094341,42.779293,10438,186,6336,454,4001,11
2020,1033,23951,7240,6426,0,28343,26612,1731,30.228382,30.387041,39.384579,10585,186,5713,405,3989,11
2010,1043,49315,19056,9245,8776,55528,50939,4589,38.641388,20.951029,40.407585,21349,761,11947,1977,9731,11
2011,1043,51053,16670,8374,7716,63253,58920,4333,32.65234,25.710537,41.637123,25499,791,13963,1867,10094,11
2012,1043,54369,19933,9690,9097,63584,60216,3368,36.662437,17.425371,45.912193,21584,829,13448,2107,9070,11
