fips,less_hs,hsd,some_college,college,stname,ctyname,year,popestimate,popest_male,popest_fem,under5_tot,age513_tot,age1417_tot,age1824_tot,age2544_tot,age4564_tot,age65plus_tot,state_fips,state_abb,unemployment_rate,total_revenue,total_taxes,property_tax,total_gen_sales_tax,total_expenditure,total_current_expend,total_capital_outlays,taxes,igrev,chgmisc,infra_trans,health,justice,human_serv,community
1003,9.52861499786377,27.17355728149414,31.3904972076416,31.90732955932617,ALABAMA,BALDWIN,2016,207787,101069,106718,11714,22989,10786,15407,48857,57513,40521,1,AL,5.4,124549,60429,35508,10590,146193,110891,35302,48.518253,30.508474,20.973272,46412,2709,32898,741,23054
1015,14.92648792266846,34.44856643676758,31.76896667480469,18.85597801208496,ALABAMA,CALHOUN,2016,115036,55322,59714,6642,12500,6150,10504,28969,30881,19390,1,AL,6.6,48587,18101,11609,4304,59074,53821,5253,37.254822,43.09383,19.651346,13901,392,14149,248,6929
1033,14.30508995056152,36.98339080810547,31.3406867980957,17.3708324432373,ALABAMA,COLBERT,2016,54483,26265,28218,3069,5750,2745,4254,13028,15097,10540,1,AL,7,20378,5741,5091,0,24789,22576,2213,28.172539,34.743351,37.08411,9203,154,5639,472,4829
1043,17.73638153076172,32.27566909790039,34.57234191894531,15.41560459136963,ALABAMA,CULLMAN,2016,82434,40696,41738,5011,9324,4302,6409,20428,22048,14912,1,AL,5,54369,19933,9690,9097,63584,60216,3368,36.662437,17.425371,45.912193,21584,829,13448,2107,9070
1055,14.67141342163086,33.39059066772461,34.24114990234375,17.69684791564941,ALABAMA,ETOWAH,2016,102931,49797,53134,5847,11092,5518,8630,24937,28163,18744,1,AL,5.9,39506,15699,11118,3293,46862,44084,2778,39.738266,26.031488,34.230244,6867,321,23593,594,5002
1069,13.12600326538086,31.52217102050781,33.22399520874023,22.12782859802246,ALABAMA,HOUSTON,2016,104355,50068,54287,6375,12199,5851,8163,26543,27570,17654,1,AL,5.8,34086,21900,15350,5379,39993,38485,1508,64.249252,14.580767,21.169981,11054,707,13580,1091,5083
1073,9.485001564025879,26.33026695251465,30.13471031188965,34.05002212524414,ALABAMA,JEFFERSON,2016,660507,312808,347699,42872,75646,33401,59369,178443,171810,98966,1,AL,5.7,689662,322618,108226,163912,570655,555037,15618,46.779148,7.4681511,45.752701,80997,106148,84603,84783,57917
1077,11.38416862487793,34.88586044311523,28.65390396118164,25.0760669708252,ALABAMA,LAUDERDALE,2016,92521,44227,48294,4731,9288,4553,10696,20886,24647,17720,1,AL,6.4,38955,25133,9276,10761,51805,46322,5483,64.518036,21.866257,13.61571,16968,256,8045,6291,4298
1083,14.72916126251221,29.33621597290039,31.01921272277832,24.91540908813477,ALABAMA,LIMESTONE,2016,92896,46505,46391,5226,10890,5251,7128,24751,26048,13602,1,AL,5.3,28122,14240,10848,947,32904,31775,1129,50.636513,33.528912,15.834578,7665,1998,10008,764,4045
1089,8.331947326660156,19.45784187316895,28.38096809387207,43.82924270629883,ALABAMA,MADISON,2016,356985,174271,182714,20868,39510,18569,34315,92560,99889,51274,1,AL,5.1,101741,50313,43146,0,121879,116755,5124,49.452042,12.715621,37.83234,31779,818,34665,179,12083
1097,12.69751071929932,33.53884124755859,29.37543487548828,24.38821220397949,ALABAMA,MOBILE,2016,415169,198289,216880,27257,48831,22578,38063,107090,107645,63705,1,AL,6.6,206097,146572,76568,52602,264963,210313,54650,71.117966,20.355949,8.526082,93992,7882,55998,7309,54408
1101,12.67205715179443,24.45256614685059,29.15375900268555,33.72161483764648,ALABAMA,MONTGOMERY,2016,227398,107578,119820,15405,26692,11778,23249,61556,56646,32072,1,AL,5.7,91145,63658,21825,38738,94288,92087,2201,69.84256,19.045477,11.111964,10390,2306,39245,5006,19809
